keys,en,pt_BR
item_miracle_elixir_name,Miracle Elixir,Elixir Milagroso
item_miracle_elixir_desc,Ultimate alchemical creation. Grants miraculous healing and regeneration.,Criação alquímica suprema. Concede cura e regeneração milagrosas.
item_night_vision_potion_name,Night Vision Potion,Poção de Visão Noturna
item_night_vision_potion_desc,Grants night vision. Special potion.,Concede visão noturna. Poção especial.
item_hearty_stew_name,Hearty Stew,Ensopado Reforçado
item_hearty_stew_desc,Nutritious stew.,Ensopado nutritivo.
item_honey_glazed_ham_name,Honey-Glazed Ham,Presunto com Mel
item_honey_glazed_ham_desc,Honey-glazed boar ham.,Presunto de javali com cobertura de mel.
item_luxury_pastries_name,Luxury Pastries,Doces de Luxo
item_luxury_pastries_desc,Fine pastries with honey and nuts.,Doces finos com mel e nozes.
item_seasoned_meat_name,Seasoned Meat,Seasoned Meat
item_seasoned_meat_desc,Expertly seasoned meat. Luxury food item.,Expertly seasoned meat. Luxury food item.
item_spiced_roast_name,Spiced Roast,Assado com Especiarias
item_spiced_roast_desc,Luxury spiced meat.,Carne de luxo temperada com especiarias.
item_decorative_statue_name,Decorative Statue,Estátua Decorativa
item_decorative_statue_desc,Finely carved statue for decoration. Shows artistic skill.,Estátua finamente esculpida para decoração. Mostra habilidade artística.
item_display_cabinet_name,Display Cabinet,Vitrine
item_display_cabinet_desc,Glass display cabinet.,Vitrine de vidro.
item_eternal_flame_brazier_name,Eternal Flame Brazier,Braseiro da Chama Eterna
item_eternal_flame_brazier_desc,Brazier containing an eternal flame. Never needs fuel\\, lights the darkest nights.,Braseiro contendo uma chama eterna. Nunca precisa de combustível\
item_fine_chair_name,Fine Chair,Cadeira Fina
item_fine_chair_desc,Quality hardwood chair.,Cadeira de madeira nobre de qualidade.
item_ornate_table_name,Ornate Table,Mesa Ornada
item_ornate_table_desc,Magnificent marble table.,Mesa magnífica de mármore.
item_throne_name,Throne,Trono
item_throne_desc,Royal throne.,Trono real.
item_trophy_mount_name,Trophy Mount,Suporte de Troféu
item_trophy_mount_desc,Mounted display for hunting trophies and rare creature parts.,Suporte montado para troféus de caça e partes de criaturas raras.
item_copper_ring_name,Ring,Anel
item_copper_ring_desc,Copper ring -description,Anel de cobre -descrição
item_alchemy_table_name,Alchemy Table,Mesa de Alquimia
item_alchemy_table_desc,Permanent alchemy table. Guild workshop! Guild craft: hardwood + glass + quality leather + tools.,Mesa de alquimia permanente. Oficina da guilda! Fabricação da guilda: madeira nobre + vidro + couro de qualidade + ferramentas.
item_forge_station_name,Forge Station,Estação de Forja
item_forge_station_desc,Permanent forge station. Guild workshop! Guild craft: iron ingots + stone blocks + coal + bellows.,Estação de forja permanente. Oficina da guilda! Fabricação da guilda: lingotes de ferro + blocos de pedra + carvão + fole.
item_tanning_rack_name,Tanning Rack,Esticador de Couro
item_tanning_rack_desc,Permanent tanning rack. Guild workshop! Guild craft: oak planks + quality leather + iron fittings + tools.,Suporte permanente de curtimento. Oficina da guilda! Fabricação da guilda: tábuas de carvalho + couro de qualidade + ferragens de ferro + ferramentas.
item_ultimate_endgame_3_name,Celestial Forge,Forja Celestial
item_ultimate_endgame_3_desc,Divine forge that channels starlight. Creates artifacts of legend.,Forja divina que canaliza a luz das estrelas. Cria artefatos lendários.
item_blanket_name,Blanket,Cobertor
item_blanket_desc,Warm blanket.,Cobertor Quente
item_candle_set_name,Candle Set,Conjunto de Velas
item_candle_set_desc,Beeswax candles.,Velas de cera de abelha.
item_lantern_name,Lantern,Lanterna
item_lantern_desc,Metal lantern.,Lanterna de metal.
item_luxury_polish_name,Luxury Polish,Polidor de Luxo
item_luxury_polish_desc,Furniture polish. Household luxury item.,Polidor de móveis. Item de luxo doméstico.
item_luxury_soap_name,Luxury Soap,Sabonete de Luxo
item_luxury_soap_desc,Perfumed luxury soap.,Sabonete perfumado de luxo.
item_perfume_name,Perfume,Perfume
item_perfume_desc,Exotic perfume.,Perfume exótico.
item_pillow_name,Pillow,Travesseiro
item_pillow_desc,Soft pillow. Comfort item.,Travesseiro macio. Item de conforto.
item_soap_name,Soap,Soap
item_soap_desc,Basic soap.,Basic soap.
item_celestial_convergence_name,Celestial Convergence,Convergência Celestial
item_celestial_convergence_desc,The Essence of Nature. A legendary mega-component combining the power of miracles\\, trade routes\\, and the World Tree itself. One of the components required to forge KRAK.,A Essência da Natureza. Um mega-componente lendário que combina o poder dos milagres\
item_champions_trophy_name,Champion's Trophy,Troféu do Campeão
item_champions_trophy_desc,Proof of ultimate hunting mastery. A legendary mega-component created from pristine pelts\\, trophy antlers\\, and the essence of an ancient titan. Represents the pinnacle of the trapper's craft.,Prova da maestria suprema na caça. Um mega-componente lendário criado a partir de peles impecáveis\
item_crown_name,Crown,Coroa
item_crown_desc,Ornate royal crown adorned with precious gems. Symbol of sovereignty.,Coroa real ornamentada adornada com pedras preciosas. Símbolo de soberania.
item_embroidered_tapestry_name,Embroidered Tapestry,Tapeçaria Bordada
item_embroidered_tapestry_desc,Magnificent wall tapestry.,Magnífica tapeçaria de parede.
item_essence_of_mastery_name,Essence of Mastery,Essência da Maestria
item_essence_of_mastery_desc,The Soul of All Crafts. A legendary mega-component combining royal jewelry\\, throne\\, and steel chestplate. Represents mastery across all three crafting disciplines.,A Alma de Todos os Ofícios. Um mega-componente lendário que combina joias reais\
item_fine_cloak_name,Fine Cloak,Manto Fino
item_fine_cloak_desc,Fur-lined luxury cloak.,Manto de luxo forrado com pele.
item_krak_name,KRAK - The Ultimate Forge,KRAK - A Forja Suprema
item_krak_desc,THE ULTIMATE FORGE. Legends speak of KRAK\\, an artifact so powerful it contains the essence of all three crafting disciplines. To create KRAK is to achieve mastery over reality itself. It pulses with the heartbeat of a dragon\\, grows with the strength of the World Tree\\, and shines with the light of fallen stars. Only the most dedicated players who have mastered all classes and gathered the rarest materials in existence can hope to forge this legendary item.,A FORJA SUPREMA. As lendas falam de KRAK\
item_leather_jacket_name,Leather Jacket,Jaqueta de Couro
item_leather_jacket_desc,Quality leather jacket. Practical clothing.,Jaqueta de couro de qualidade. Roupa prática.
item_linen_shirt_name,Linen Shirt,Camisa de Linho
item_linen_shirt_desc,Simple linen shirt. Basic clothing.,Camisa simples de linho. Roupa básica.
item_ornate_jewelry_name,Ornate Jewelry,Joias Ornamentadas
item_ornate_jewelry_desc,Exquisite jewelry pieces with intricate designs. High value.,Peças de joalheria requintadas com designs intrincados. Alto valor.
item_royal_garments_name,Royal Garments,Trajes Reais
item_royal_garments_desc,Royal ceremonial robes.,Roupas cerimoniais reais.
item_royal_jewelry_set_name,Royal Jewelry Set,Conjunto de Joias Reais
item_royal_jewelry_set_desc,Magnificent royal jewelry.,Magníficas joias reais.
item_simple_jewelry_name,Simple Jewelry,Joias Simples
item_simple_jewelry_desc,Simple silver jewelry.,Joias simples de prata.
item_ultimate_endgame_5_name,Titan\'s Crown,Coroa do Titã
item_ultimate_endgame_5_desc,Crown worn by the ancient titans. Grants dominion over the land.,Coroa usada pelos antigos titãs. Concede domínio sobre a terra.
item_winter_coat_name,Winter Coat,Casaco de Inverno
item_winter_coat_desc,Thick\\, warm coat for harsh winter conditions. Essential for cold climates.,Grosso\
item_adamantine_ingot_name,Adamantine Ingot,Lingote de Adamantina
item_adamantine_ingot_desc,Legendary metal ingot. Unmatched strength.,Lingote metálico lendário. Força incomparável.
item_adamantine_ore_name,Adamantine Ore,Minério de Adamantina
item_adamantine_ore_desc,Legendary ultra-hard ore. The rarest and most valuable metal in existence.,Minério lendário ultra-duro. O metal mais raro e valioso existente.
item_alcohol_base_name,Alcohol Base,Base Alcoólica
item_alcohol_base_desc,Distilled alcohol. Base for potions and tinctures. Crafted from grapes.,Álcool destilado. Base para poções e tinturas. Feito a partir de uvas.
item_ale_name,Ale,Cerveja de Cevada
item_ale_desc,Barley ale. Celebration drink.,Cerveja de cevada. Bebida de celebração.
item_almonds_name,Almonds,Amêndoas
item_almonds_desc,Sweet almonds. Luxury nut for fine cooking.,Amêndoas doces. Nozes de luxo para culinária refinada.
item_amethyst_name,Amethyst,Ametista
item_amethyst_desc,Purple gemstone. Beautiful and moderately valuable for jewelry.,Gema roxa. Bonita e de valor moderado para joalheria.
item_ancient_titan_essence_name,Ancient Titan Essence,Essência do Titã Antigo
item_ancient_titan_essence_desc,The crystallized essence of an ancient titan. Priceless endgame drop from titan bosses.,A essência cristalizada de um titã antigo. Recompensa de fim de jogo inestimável de chefes titãs.
item_ancient_wood_planks_name,Ancient Wood Planks,Tábuas de Madeira Antiga
item_ancient_wood_planks_desc,Luxury planks from cedar or willow. For fine furniture and nobles.,Tábuas de luxo feitas de cedro ou salgueiro. Para móveis finos e nobres.
item_animal_fat_name,Animal Fat,Gordura Animal
item_animal_fat_desc,Rendered animal fat. Used for cooking\\, soap\\, and candles.,Gordura animal derretida. Usada para cozinhar\
item_animal_feces_name,Animal Feces,Fezes de Animal
item_animal_feces_desc,...It's exactly what it sounds like. Essential fertilizer ingredient.,...É exatamente o que parece. Ingrediente essencial para fertilizante.
item_apples_name,Apples,Maçãs
item_apples_desc,Crisp apples. Used in cooking and cider-making.,Maçãs crocantes. Usadas em culinária e na fabricação de sidra.
item_ash_planks_name,Ash Planks,Tábuas de Freixo
item_ash_planks_desc,Processed ash wood planks. Strong and flexible for construction.,Tábuas processadas de madeira de freixo. Fortes e flexíveis para construção.
item_ash_wood_name,Ash Wood,Madeira de Freixo
item_ash_wood_desc,Strong and flexible wood from ash trees. Prized for tool handles and furniture.,Madeira forte e flexível proveniente de árvores de freixo. Valorizada para cabos de ferramentas e móveis.
item_bait_name,Bait,Isca
item_bait_desc,Basic bait for trapping small game.,Isca básica para capturar pequenos animais.
item_bamboo_name,Bamboo,Bambu
item_bamboo_desc,Fast-growing\\, extremely strong grass. Lightweight and versatile construction material.,Crescimento rápido\
item_bamboo_planks_name,Bamboo Planks,Tábuas de Bambu
item_bamboo_planks_desc,Processed bamboo planks. Lightweight yet incredibly strong.,Tábuas de bambu processadas. Leves e incrivelmente resistentes.
item_barley_name,Barley,Cevada
item_barley_desc,Versatile barley grain. Key ingredient for ale brewing.,Grão de cevada versátil. Ingrediente essencial para a produção de cerveja.
item_barrel_name,Barrel,Barril
item_barrel_desc,Wooden barrel with iron bands. Used for wine and storage.,Barril de madeira com aros de ferro. Usado para vinho e armazenamento.
item_basic_fabric_name,Basic Fabric,Tecido Básico
item_basic_fabric_desc,Simple woven fabric. Used for basic clothing and bandages. Crafted from thread.,Tecido simples tecido à mão. Usado para roupas básicas e bandagens. Feito a partir de linha.
item_basic_leather_name,Basic Leather,Couro Básico
item_basic_leather_desc,Simple tanned leather from rabbit hide. Foundation of leatherwork.,Couro curtido simples de pele de coelho. Base do trabalho em couro.
item_bear_fur_name,Bear Fur,Pele de Urso
item_bear_fur_desc,Massive bear pelt. Ultimate winter clothing material.,Grande pele de urso. Material supremo para roupas de inverno.
item_beeswax_name,Beeswax,Cera de Abelha
item_beeswax_desc,Natural beeswax. Essential for candles and polish.,Cera natural de abelha. Essencial para velas e polimento.
item_bellows_name,Bellows,Foles
item_bellows_desc,Forge bellows. Essential smithing tool.,Foles de forja. Ferramenta essencial de ferreiro.
item_berries_name,Berries,Frutas Silvestres
item_berries_desc,Fresh wild berries. Used for juice\\, wine\\, and bait.,Frutas silvestres frescas. Usadas para suco\
item_berry_juice_name,Berry Juice,Suco de Frutas Silvestres
item_berry_juice_desc,A sweet\\, revitalizing drink squeezed from wild berries\\, restoring a bit of strength to weary adventurers.,Um suco doce\
item_better_bait_name,Better Bait,Isca Melhorada
item_better_bait_desc,Improved bait with higher success rate. Attracts larger prey.,Isca aprimorada com maior taxa de sucesso. Atrai presas maiores.
item_bile_sacs_name,Bile Sacs,Sacos de Bílis
item_bile_sacs_desc,Rare bile sacs. Medical and alchemical uses.,Sacos de bílis raros. Usos medicinais e alquímicos.
item_binding_cord_name,Binding Cord,Cordão de Amarração
item_binding_cord_desc,Strong cord for binding and crafting. Essential material for many recipes.,Cordão resistente para amarração e artesanato. Material essencial para muitas receitas.
item_birch_planks_name,Birch Planks,Tábuas de Bétula
item_birch_planks_desc,Processed birch wood planks. Quality hardwood for construction.,Tábuas processadas de madeira de bétula. Madeira de qualidade para construção.
item_birch_wood_name,Birch Wood,Madeira de Bétula
item_birch_wood_desc,Light-colored birch logs. Popular for furniture.,Troncos de bétula de cor clara. Populares para móveis.
item_blood_vials_name,Blood Vials,Frascos de Sangue
item_blood_vials_desc,Collected animal blood. Essential for advanced potions.,Sangue animal coletado. Essencial para poções avançadas.
item_boar_hide_name,Boar Hide,Pele de Javali
item_boar_hide_desc,Tough boar hide. Makes heavy leather for armor. From Hunter's Trap.,Pele de javali resistente. Produz couro pesado para armaduras. Vinda da Armadilha de Caçador.
item_boar_meat_name,Boar Meat,Carne de Javali
item_boar_meat_desc,Rich boar meat. Luxury food ingredient. From Hunter's Trap.,Carne rica de javali. Ingrediente de comida de luxo. Vinda da Armadilha de Caçador.
item_bone_name,Bone,Osso
item_bone_desc,Animal bones used for crafting tools and ornaments.,Ossos de animais usados para fabricar ferramentas e ornamentos.
item_bone_glue_name,Bone Glue,Cola de Osso
item_bone_glue_desc,Strong adhesive from boiled bones.,Adesivo forte feito de ossos fervidos.
item_bone_meal_name,Bone Meal,Farinha de Osso
item_bone_meal_desc,Ground bone powder. Used as fertilizer.,Pó de osso moído. Usado como fertilizante.
item_bones_name,Skull,Crânio
item_bones_desc,Animal skull. Processed into bone meal and glue.,Crânio de animal. Processado em farinha de osso e cola.
item_bread_name,Bread,Pão
item_bread_desc,Fresh baked bread. Staple food.,Pão recém-assado. Alimento básico.
item_brick_name,Brick,Tijolo
item_brick_desc,Fired clay brick. Foundation of construction.,Tijolo de argila queimada. Fundação da construção.
item_bronze_ingot_name,Bronze Ingot,Lingote de Bronze
item_bronze_ingot_desc,Bronze alloy ingot. Decorative metalwork. Crafted from copper + tin ingots.,Lingote de liga de bronze. Trabalhos metálicos decorativos. Feito de lingotes de cobre + estanho.
item_cabbage_name,Cabbage,Repolho
item_cabbage_desc,Hearty cabbage heads. Staple vegetable for soups.,Cabeças de repolho robustas. Legume básico para sopas.
item_canvas_name,Canvas,Lona
item_canvas_desc,Heavy-duty canvas from hemp. Used for bags and tents.,Lona resistente feita de cânhamo. Usada para bolsas e tendas.
item_carrots_name,Carrots,Cenouras
item_carrots_desc,Orange root vegetables. Essential stew ingredient.,Vegetais de raiz laranja. Ingrediente essencial para ensopados.
item_cedar_planks_name,Cedar Planks,Tábuas de Cedro
item_cedar_planks_desc,Processed cedar wood planks. Naturally resistant and aromatic.,Tábuas processadas de madeira de cedro. Naturalmente resistentes e aromáticas.
item_cedar_wood_name,Cedar Wood,Madeira de Cedro
item_cedar_wood_desc,Aromatic wood from cedar trees. Naturally resistant to rot and insects.,Madeira aromática de árvores de cedro. Naturalmente resistente à podridão e insetos.
item_charcoal_name,Charcoal,Carvão Vegetal
item_charcoal_desc,Charred wood fuel. Can substitute for coal in some recipes.,Combustível feito de madeira queimada. Pode substituir o carvão mineral em algumas receitas.
item_cider_name,Cider,Sidra
item_cider_desc,Apple cider.,Sidra de maçã.
item_claws_name,Claws,Garras
item_claws_desc,Sharp animal claws. Trophy decoration.,Garras afiadas de animais. Decoração de troféu.
item_clay_name,Clay,Argila
item_clay_desc,Soft earthy material used for pottery and bricks.,Material terroso macio usado para cerâmica e tijolos.
item_coal_name,Coal,Carvão Mineral
item_coal_desc,Combustible black rock. Essential fuel for smelting and heating.,Rocha preta combustível. Combustível essencial para fundição e aquecimento.
item_colored_fabric_name,Colored Fabric,Tecido Colorido
item_colored_fabric_desc,Fabric dyed in vibrant colors. For decorative clothing. Crafted from fabric + dyes.,Tecido tingido em cores vibrantes. Para roupas decorativas. Feito de tecido + corantes.
item_cooked_meat_name,Cooked Meat,Carne Cozida
item_cooked_meat_desc,Simple roasted meat. Basic food. Crafted from rabbit meat.,Carne assada simples. Comida básica. Feita com carne de coelho.
item_copper_ingot_name,Copper Ingot,Lingote de Cobre
item_copper_ingot_desc,Refined copper ingot. Foundation of metalworking. Crafted from copper ore + coal.,Lingote de cobre refinado. Base da metalurgia. Feito de minério de cobre + carvão.
item_copper_ore_name,Copper Ore,Minério de Cobre
item_copper_ore_desc,Raw copper ore extracted from mining. Used for smelting copper ingots.,Minério bruto de cobre extraído da mineração. Usado para fundir lingotes de cobre.
item_cork_name,Cork,Cortiça
item_cork_desc,Cork bark. Essential for bottle stoppers. Found in Forager's Bundles.,Casca de cortiça. Essencial para tampas de garrafa. Encontrada em Pacotes do Coletor.
item_cotton_name,Cotton,Algodão
item_cotton_desc,Soft cotton bolls. Makes comfortable fabric. Found in Woodland Bundles.,Capulhos de algodão macio. Produzem tecido confortável. Encontrado em Pacotes da Floresta.
item_cured_leather_name,Cured Leather,Couro Curado
item_cured_leather_desc,Professionally cured and treated leather. Resistant and durable. Interdependent craft.,Couro tratado e curado profissionalmente. Resistente e durável. Fabricação interdependente.
item_decorative_bronze_name,Decorative Bronze,Bronze Decorativo
item_decorative_bronze_desc,Ornate bronze work with patina. Luxury decoration. Crafted from bronze + malachite.,Trabalho de bronze ornamentado com pátina. Decoração de luxo. Feito de bronze + malaquita.
item_deer_hide_name,Deer Hide,Pele de Cervo
item_deer_hide_desc,Quality deer hide. Makes good leather. From Standard Trap.,Pele de cervo de qualidade. Produz bom couro. Vinda da Armadilha Padrão.
item_deer_meat_name,Deer Meat,Carne de Cervo
item_deer_meat_desc,Quality venison. Good food ingredient. From Standard Trap.,Carne de veado de qualidade. Bom ingrediente alimentar. Vinda da Armadilha Padrão.
item_diamond_name,Diamond,Diamante
item_diamond_desc,Extremely rare and valuable crystal. The ultimate gemstone.,Cristal extremamente raro e valioso. A gema suprema.
item_dyes_name,Dyes,Corantes
item_dyes_desc,Vibrant fabric dyes. For colored textiles. Interdependent: dye plants + salt + fat.,Corantes vibrantes para tecidos coloridos. Interdependente: plantas de corante + sal + gordura.
item_electrum_ingot_name,Electrum Ingot,Lingote de Electrum
item_electrum_ingot_desc,Gold-silver alloy. Master-level jewelry material. Crafted from silver + gold ingots.,Liga de ouro e prata. Material de joalheria de nível mestre. Feito de lingotes de prata + ouro.
item_emerald_name,Emerald,Esmeralda
item_emerald_desc,Brilliant green gemstone. Highly valued for jewelry.,Gema verde brilhante. Altamente valorizada para joalheria.
item_exotic_flowers_name,Exotic Flowers,Flores Exóticas
item_exotic_flowers_desc,Beautiful rare flowers. Used for perfume and dyes. Found in Woodland Bundles.,Flores raras e bonitas. Usadas para perfume e corantes. Encontradas em Pacotes da Floresta.
item_exotic_hides_name,Exotic Hides,Peles Exóticas
item_exotic_hides_desc,Rare exotic animal hides. Masterwork leather source. Rare from Hunter's Trap.,Peles raras de animais exóticos. Fonte de couro magistral. Raras da Armadilha de Caçador.
item_feathers_name,Feathers,Penas
item_feathers_desc,Bird feathers. Used for arrows and pillows.,Penas de pássaro. Usadas para flechas e travesseiros.
item_fertilizer_name,Fertilizer,Fertilizante
item_fertilizer_desc,MEMEABLE! Potent fertilizer. 'Fertilizer shortage!' Interdependent: feces + fiber + bone meal + limestone.,MEMEÁVEL! Fertilizante potente. “Crise do fertilizante!” Interdependente: fezes + fibra + farinha de osso + calcário.
item_fire_herbs_name,Fire Herbs,Ervas de Fogo
item_fire_herbs_desc,Rare magical herbs that glow with inner heat. Essential for powerful alchemical recipes.,Ervas mágicas raras que brilham com calor interno. Essenciais para receitas alquímicas poderosas.
item_flax_name,Flax,Linho
item_flax_desc,Flax plants. Processed into linen fabric. Found in Forager's Bundles.,Plantas de linho. Processadas em tecido de linho. Encontradas em Pacotes do Coletor.
item_flour_name,Flour,Farinha
item_flour_desc,Ground wheat flour. Foundation of all baking. Crafted from wheat.,Farinha de trigo moída. Base de toda panificação. Feita a partir de trigo.
item_fox_fur_name,Fox Fur,Pele de Raposa
item_fox_fur_desc,Soft fox fur. Luxury clothing material. Rare from Standard Trap.,Pele macia de raposa. Material de roupa de luxo. Rara da Armadilha Padrão.
item_glass_bottle_name,Glass Bottle,Garrafa de Vidro
item_glass_bottle_desc,Glass bottle. Essential for potions and liquids. Crafted from sand + coal.,Garrafa de vidro. Essencial para poções e líquidos. Feita de areia + carvão.
item_glass_pane_name,Glass Pane,Painel de Vidro
item_glass_pane_desc,Flat glass pane. Luxury construction material. Crafted from sand + iron fittings.,Painel de vidro plano. Material de construção de luxo. Feito de areia + ferragens de ferro.
item_gold_ingot_name,Gold Ingot,Lingote de Ouro
item_gold_ingot_desc,Valuable gold ingot. Ultimate luxury material. Crafted from gold ore + coal.,Lingote de ouro valioso. Material de luxo supremo. Feito de minério de ouro + carvão.
item_gold_inlay_name,Gold Inlay,Incrustação de Ouro
item_gold_inlay_desc,Delicate gold inlay work. Luxury furnishing component. Complex processing.,Trabalho delicado de incrustação em ouro. Componente de mobília de luxo. Processamento complexo.
item_gold_ore_name,Gold Ore,Minério de Ouro
item_gold_ore_desc,Valuable gold ore. Highly sought after for jewelry and trade goods.,Minério de ouro valioso. Altamente procurado para joalheria e bens de troca.
item_gold_thread_name,Gold Thread,Fio de Ouro
item_gold_thread_desc,Thread woven with gold. Ultimate luxury embroidery. Interdependent: gold + thread.,Fio tecido com ouro. Bordado de luxo supremo. Interdependente: ouro + fio.
item_gourds_name,Gourds,Cabaças
item_gourds_desc,Decorative gourds. Festival decorations and containers. Gourd mania is real!,Cabaças decorativas. Decorações de festival e recipientes. A mania das cabaças é real!
item_granite_name,Granite,Granito
item_granite_desc,Extremely hard igneous rock. Perfect for monuments and foundations.,Rocha ígnea extremamente dura. Perfeita para monumentos e fundações.
item_grapes_name,Grapes,Uvas
item_grapes_desc,Plump grapes. Essential for winemaking!,Uvas suculentas. Essenciais para a produção de vinho!
item_gravel_name,Gravel,Cascalho
item_gravel_desc,Loose small stones. Used for paths and construction foundations.,Pequenas pedras soltas. Usadas para caminhos e fundações de construção.
item_hardwood_planks_name,Hardwood Planks,Tábuas de Madeira Dura
item_hardwood_planks_desc,Strong hardwood planks from maple or ash. Quality construction material. Crafted from hardwoods.,Tábuas resistentes de madeira nobre (bordo ou freixo). Material de construção de qualidade. Produzidas a partir de madeiras duras.
item_heavy_leather_name,Heavy Leather,Couro Pesado
item_heavy_leather_desc,Thick boar leather. Used for armor. Interdependent: boar hide + salt + fat.,Couro grosso de javali. Usado para armaduras. Interdependente: pele de javali + sal + gordura.
item_hemp_name,Hemp,Cânhamo
item_hemp_desc,Strong hemp fibers. Makes rope and canvas. Found in Forager's Bundles.,Fibras fortes de cânhamo. Usadas para fazer cordas e lonas. Encontrado em Pacotes do Coletor.
item_herbs_name,Herbs,Ervas
item_herbs_desc,Medicinal herbs with healing properties. Essential for potions.,Ervas medicinais com propriedades curativas. Essenciais para poções.
item_herbs_common_name,Common Herbs,Ervas Comuns
item_herbs_common_desc,Basic medicinal herbs. Used for potions and healing. Found in Common Bundles.,Ervas medicinais básicas. Usadas para poções e curas. Encontradas em Pacotes Comuns.
item_herbs_rare_name,Rare Herbs,Ervas Raras
item_herbs_rare_desc,Potent medicinal herbs. Essential for advanced potions. Found in Woodland Bundles.,Ervas medicinais potentes. Essenciais para poções avançadas. Encontradas em Pacotes da Floresta.
item_honey_name,Honey,Mel
item_honey_desc,Sweet golden honey. Luxury sweetener for food and medicine.,Mel dourado e doce. Adoçante de luxo para alimentos e remédios.
item_horns_name,Horns,Chifres
item_horns_desc,Animal horns. Trophy decoration and crafting material. From Hunter's Trap.,Chifres de animais. Decoração de troféus e material de artesanato. Obtidos de Armadilhas de Caçador.
item_indigo_plant_name,Indigo Plant,Planta de Índigo
item_indigo_plant_desc,Blue dye plant. Creates vibrant indigo dyes. Found in Premium Bundles.,Planta de corante azul. Produz corantes índigo vibrantes. Encontrada em Pacotes Premium.
item_iron_fittings_name,Iron Fittings,Ferragens de Ferro
item_iron_fittings_desc,Iron brackets\\, buckles\\, and hinges. Essential components. Crafted from iron ingots.,Suportes de ferro.
item_iron_ingot_name,Iron Ingot,Lingote de Ferro
item_iron_ingot_desc,Strong iron ingot. Essential for tools and construction.,Lingote de ferro resistente. Essencial para ferramentas e construções.
item_iron_ore_name,Iron Ore,Minério de Ferro
item_iron_ore_desc,Raw iron ore extracted from mining. Essential for creating iron ingots.,Minério bruto extraído da mineração. Essencial para criar lingotes de ferro.
item_iron_sword_name,Iron Sword,Espada de Ferro
item_iron_sword_desc,A well-crafted iron sword. Requires components from multiple classes.,Espada de ferro bem forjada. Requer componentes de múltiplas classes.
item_ironwood_name,Ironwood,Madeira de Ferro
item_ironwood_desc,Legendary wood as strong as metal. Extremely rare.,Madeira lendária tão forte quanto metal. Extremamente rara.
item_ironwood_planks_name,Ironwood Planks,Tábuas de Madeira de Ferro
item_ironwood_planks_desc,Processed ironwood planks. As strong as metal\\, legendary material.,Tábuas processadas de madeira de ferro. Tão resistentes quanto metal.
item_leather_cord_name,Leather Cord,Cordão de Couro
item_leather_cord_desc,Thin leather cords for jewelry and ties.,Cordões finos de couro para joias e amarrações.
item_leather_grip_name,Leather Grip,Empunhadura de Couro
item_leather_grip_desc,A comfortable leather grip for weapons and tools.,Empunhadura de couro confortável para armas e ferramentas.
item_leather_strap_name,Leather Strap,Correia de Couro
item_leather_strap_desc,Leather straps for buckles and bindings. Essential component. Crafted from deer hide + basic leather.,Correias de couro para fivelas e amarrações. Componente essencial. Feitas de pele de cervo + couro básico.
item_limestone_name,Limestone,Calcário
item_limestone_desc,Sedimentary rock used for mortar and construction.,Rocha sedimentar usada para argamassa e construções.
item_linen_fabric_name,Linen Fabric,Tecido de Linho
item_linen_fabric_desc,Quality linen fabric from flax. Used for clothing and linens.,Tecido de linho de qualidade feito de linho (flax). Usado para roupas e tecidos domésticos.
item_lodestone_name,Lodestone,Pedra-Imã (Lodestone)
item_lodestone_desc,Naturally magnetic iron ore. Mysterious properties valued by scholars.,Minério de ferro naturalmente magnético. Propriedades misteriosas valorizadas por estudiosos.
item_lye_name,Lye,Lixívia (Lye)
item_lye_desc,Caustic alkaline solution. Used for soap making and tanning.,Solução alcalina cáustica. Usada na fabricação de sabão e curtimento de couro.
item_madder_root_name,Madder Root,Raiz de Garança
item_madder_root_desc,Red dye plant root. Creates rich red dyes.,Raiz de planta de corante vermelho. Produz tintas vermelhas intensas.
item_malachite_name,Malachite,Malaquita
item_malachite_desc,Bright green copper carbonate. Used for decorative bronzework.,Carbonato de cobre verde-brilhante. Usado em trabalhos decorativos de bronze.
item_maple_planks_name,Maple Planks,Tábuas de Bordo (Maple)
item_maple_planks_desc,Processed maple wood planks. Beautiful hardwood for fine furniture.,Tábuas processadas de madeira de bordo. Madeira bonita para móveis finos.
item_maple_wood_name,Maple Wood,Madeira de Bordo
item_maple_wood_desc,Beautiful hardwood from maple trees. Excellent for fine furniture and musical instruments.,Madeira nobre proveniente de árvores de bordo. Excelente para móveis finos e instrumentos musicais.
item_marble_name,Marble,Mármore
item_marble_desc,Beautiful metamorphic stone used for luxury construction and decoration.,Bela rocha metamórfica usada em construções e decorações de luxo.
item_masterwork_leather_name,Masterwork Leather,Couro de Mestre
item_masterwork_leather_desc,Perfect leather from exotic hides. Ultimate leatherwork.,Couro perfeito de peles exóticas. O auge do trabalho em couro.
item_medicinal_tincture_name,Medicinal Tincture,Tintura Medicinal
item_medicinal_tincture_desc,Concentrated herbal medicine. Treats ailments and poisons.,Remédio herbal concentrado. Trata doenças e venenos.
item_metal_bands_name,Metal Bands,Aros Metálicos
item_metal_bands_desc,Bronze bands used for reinforcement. Essential for barrels and equipment.,Aros de bronze usados para reforço. Essenciais para barris e equipamentos.
item_mica_name,Mica,Mica
item_mica_desc,Transparent mineral sheets. Used for windows and decorative purposes.,Lâminas minerais transparentes. Usadas em janelas e decoração.
item_mortar_name,Mortar,Argamassa
